,public_transport,driving,walking,cycling
Ang Mo Kio,9.846109178490027,14.899304667095205,2.151090034783624,6.871618550208853
Bedok,5.367797491000852,26.74343434027348,2.237445917842529,6.3474494333172435
Bishan,0.0,0.0,0.0,0.0
Bukit Batok,10.917665019100212,12.178058292172203,2.2060199813428287,5.20691956454817
Bukit Merah,0.0,0.0,0.0,0.0
Bukit Panjang,5.722199911038597,23.912610887078912,2.1419787231563574,7.507284189637929
Bukit Timah,1.0152484349533595,11.398614771607805,2.044449040656253,4.937190581193043
Choa Chu Kang,6.459689576897168,5.898152102823567,2.0209673126229784,6.418447382547331
Clementi,12.094351387526306,9.82504776794687,2.1816708776639797,6.359168330189036
Downtown Core,2.5978689437494085,15.235482145921484,2.301087288589845,5.452096846213139
Geylang,3.593630906527566,26.14022416978335,1.953162298473479,6.105694453828343
Hougang,4.883250998907631,20.445077466296567,2.0549411078457736,6.264758765209567
Jurong East,9.676301472553986,10.407272017401027,1.9526306557134918,6.477035820581539
Jurong West,7.002551723101139,8.455646098888284,2.023779832547508,6.903251736795345
Kallang,2.9256322607377268,23.840937994931306,2.0201971810559813,6.169714140943445
Marine Parade,4.916152635575213,30.624069777419134,2.154329269636357,6.454061365726476
Novena,7.199078206351529,15.901583876930696,2.15936976034705,6.408808080442411
Outram,4.019737163171608,24.234966081019913,2.106569595786972,4.763041612629726
Pasir Ris,2.8739342863047415,24.26265069469936,2.0484311333140197,6.1941375910433525
Punggol,2.950277048600778,20.22926943327297,1.8250974046550497,6.17159538908955
