,Longitude,Latitude
Ang Mo Kio,103.8495228,1.3700803
Bedok,103.930216,1.3239765
Bishan,106.1686627,29.5730296
Bukit Batok,103.7495906,1.3490572
Bukit Merah,101.0408667,4.5523732
Bukit Panjang,103.7630947,1.3779175
Bukit Timah,103.7763724,1.3546901
Choa Chu Kang,103.7445341,1.3847493
Clementi,103.7652311,1.3151003
Downtown Core,103.8537756,1.2862423
Geylang,103.8870563,1.3181862
Hougang,103.8925443,1.3708011
Jurong East,103.7422939,1.333108
Jurong West,103.7058663,1.3434392
Kallang,103.866262,1.310759
Marine Parade,103.9073952,1.3026889
Novena,103.8438813,1.3205257
Outram,103.840653,1.2816642
Pasir Ris,103.949255,1.3730307
Punggol,103.902368,1.4051559
