,public_transport,driving,walking,cycling
Bayview,5.155851600808711,23.103048899738365,2.215439603032095,6.848790504161525
Bernal Heights,3.9384725979455046,26.517002841279155,1.9406194204364837,5.829402594270038
Castro,0.0,0.0,0.0,0.0
Chinatown,1.179976703442439,15.022438997816518,2.2818541298754567,7.834494455725482
Crocker Amazon,5.6429080003635095,21.725930016349004,2.3407122010996697,5.078144698090987
Glen Park,8.617236025726221,24.35750951994801,2.2158475137269793,5.76766676539276
Civic Center,9.999064232056629,25.738950157307755,2.116802367341417,6.548474714731557
Excelsior,8.89523152556164,30.121659874935137,2.1947337038703503,6.082989764782747
Financial District,11.993879837487773,9.183684933038467,2.1513207050027177,5.388448577458663
Golden Gate Park,4.028176294069102,27.97323442389101,2.2864892557702383,6.151414557896958
Haight Ashbury,3.960239946556532,16.825651314571267,2.1908212989305422,6.025515815893776
Inner Richmond,0.0,0.0,0.0,0.0
Inner Sunset,4.370542498015593,23.4637777209385,2.1194374691053843,5.695849124291655
Lakeshore,3.656737927349298,19.118194053953037,2.072477869963461,6.720603506870513
Marina,1.1711376983706085,14.350362510828408,2.1234424946911634,7.164367598052917
Mission,13.771339375486772,6.548076228311172,2.050908157818788,6.603184999770427
Mission Bay,3.4248207125971115,25.803945961659913,2.1766883042229668,6.44904257038585
Nob Hill,4.344053469855903,15.965057103661568,2.025912618581932,4.599112572452518
Noe Valley,4.153579461886589,22.499421060156433,2.206934926074893,5.531949997512245
North Beach,3.4756301844006114,20.11172515101801,1.9931760958873448,6.0968762734959485
Ocean View,7.118761597146034,15.302451275523628,2.088925545863466,6.147393848511113
Outer Mission,6.679943932107488,29.720920333211435,2.2170186271955292,6.462797414847422
Outer Richmond,0.0,0.0,0.0,0.0
Outer Sunset,0.0,0.0,0.0,0.0
Pacific Heights,3.998468400287254,12.679182612574008,2.222176271035052,6.595853566852101
Parkside,4.599974028784712,19.32642375449083,2.1904789870834427,6.384650645276204
Potrero Hill,4.391512771613324,23.339277094664805,2.084552105248434,5.108174718913844
Presidio,2.873503064415695,35.46899768287952,2.077676982123294,4.65758810044658
Presidio Heights,3.877169123229952,13.680176157280396,2.078990043455219,5.864883311270427
Russian Hill,3.688457255067028,21.967759669934903,2.0374824788730925,5.309680074584121
Seacliff,5.070690342707508,17.47715972354147,2.1419810340755183,6.725041564127993
South of Market,7.277516020457875,26.61054908913058,2.1778414227637026,6.353909199197816
Treasure Island YBI,0.0,0.0,0.0,0.0
Twin Peaks,3.1743241715138564,9.895202891381464,2.035215496373235,3.728015996241286
Visitacion Valley,3.7376681311091553,19.20255763860915,2.1494961837534388,6.484783157620387
West of Twin Peaks,0.0,0.0,0.0,0.0
Western Addition,4.2626481281016,13.315301101353244,2.1030426606870227,6.276876672895388
