,Longitude,Latitude
Ang Mo Kio,103.8495228,1.3700803
Bedok,103.930216,1.3239765
Bishan,103.8482551,1.3509859
Bukit Batok,103.7495906,1.3490572
Bukit Merah,103.8200999,1.2837356
Bukit Panjang,103.7630947,1.3779175
Bukit Timah,103.7763724,1.3546901
Choa Chu Kang,103.744325,1.3853167
Clementi,103.7652311,1.3151003
Downtown Core,103.8537756,1.2862423
Geylang,103.8870563,1.3181862
Hougang,103.8925443,1.3708011
Jurong East,103.7422939,1.333108
Jurong West,103.7058663,1.3434392
Kallang,103.866262,1.310759
Marine Parade,103.9073952,1.3026889
Novena,103.8438813,1.3205257
Outram,103.840653,1.2816642
Pasir Ris,103.949255,1.3730307
Punggol,103.902368,1.4051559
Queenstown,103.8060366,1.2946226
River Valley,103.834188,1.2976832
Sembawang,103.8200555,1.4490928
Sengkang,103.8954909,1.3919236
Serangoon,103.8736841,1.3497611
Tampines,103.9435712,1.3546528
Tanglin,103.8184717,1.3042047
Toa Payoh,103.8497414,1.3353906
Woodlands,103.786216,1.436897
Yishun,103.8350282,1.4293839
,103.6829332,1.3484104
