,public_transport,driving,walking,cycling
Ang Mo Kio,9.858629825512525,15.657752124359753,2.151090034783624,6.871618550208853
Bedok,10.059387736293697,22.07072927528591,2.237445917842529,6.3474494333172435
Bishan,11.035620257554363,18.03254602224015,2.0700174440036845,6.708787264151786
Bukit Batok,9.374971186288755,17.89157951875386,2.2060199813428287,5.20691956454817
Bukit Merah,6.132163051819969,14.658450172388548,2.177206136508121,6.841562683450567
Bukit Panjang,9.886144689126997,20.185348162123226,2.1419787231563574,7.507284189637929
Bukit Timah,1.0152484349533595,15.411446090613392,2.044449040656253,4.937190581193043
Choa Chu Kang,9.519763047401055,22.460529034900198,2.011984440770866,6.482107714125298
Clementi,12.084982411274241,10.622439977293354,2.1816708776639797,6.359168330189036
Downtown Core,6.748690724281098,24.711961877425516,2.301087288589845,5.452096846213139
Geylang,4.1550639159193326,22.024283295896133,1.953162298473479,6.105694453828343
Hougang,9.849074852406252,15.865270323525458,2.0549411078457736,6.264758765209567
Jurong East,10.875881015654135,10.230622403557264,1.9526306557134918,6.477035820581539
Jurong West,4.987251884707456,16.873835115912957,2.023779832547508,6.903251736795345
Kallang,5.95932377371842,19.97575779732952,2.0201971810559813,6.169714140943445
Marine Parade,6.051161787681986,22.731943895998214,2.154329269636357,6.454061365726476
Novena,10.739766043515651,21.141910444899352,2.15936976034705,6.408808080442411
Outram,7.589489191646848,15.035879119623639,2.106569595786972,4.763041612629726
Pasir Ris,10.695308646052395,21.906883021124397,2.0484311333140197,6.1941375910433525
Punggol,13.057803369025143,17.77771942646834,1.8250974046550497,6.17159538908955
Queenstown,11.359005712520567,12.653378234413344,2.1741123400664315,7.321704679334945
River Valley,4.339169357495281,15.211451509123881,2.164122694510818,5.487849758524848
Sembawang,11.684115891685746,13.642401624942737,2.0653674299963787,6.5139340260366865
Sengkang,6.080394956652699,13.907903182050774,2.1321908383075074,6.14911568473126
Serangoon,10.438851393655787,17.483238846832922,2.1809247134213816,6.962914092120356
Tampines,9.138733967656105,19.72652256865391,2.0923051146929836,5.85113997621359
Tanglin,4.633462334684193,18.57631868777011,2.17374398918954,6.3404377578221105
Toa Payoh,5.615171924919356,21.01475046175002,1.796765569321041,6.7121652461753465
Woodlands,8.09690607269581,19.97720172264434,1.991060770088831,3.195011752290973
Yishun,10.819418686951636,12.1460645201444,1.912026607011964,6.263108021109913
,3.0345550420152123,18.952411223391888,1.8272110709891747,6.673892242548579
